winery_id,name,country,region,founded_year,source_url
11,Almaviva Winery,Chile,Central Valley,1996,https://www.almavivawinery.com/vintages/2020
22,Bodegas Vega Sicilia,Spain,Castilla y Leon,1864,https://www.vega-sicilia.com/wines/unico-2013
26,Catena Zapata,Argentina,Mendoza,1902,https://catenazapata.com/adrianna-mundus-2019
15,Caymus Vineyards,USA,Napa Valley,1972,https://www.caymus.com/wines/special-selection-2018
21,Champagne Krug,France,Champagne,1843,https://www.krug.com/krug-id/2008
20,Champagne Salon,France,Champagne,1905,https://www.salondelamotte.com/salon-2013
9,Chateau Latour,France,Bordeaux,1331,https://www.chateau-latour.com/en/vintages/2015
8,Chateau Margaux,France,Bordeaux,1583,https://www.chateau-margaux.com/en/vintages/2019
19,Chateau d'Yquem,France,Bordeaux,1593,https://www.chateau-yquem.fr/en/vintages/2019
10,Domaine de la Romanee-Conti,France,Burgundy,1232,https://www.romanee-conti.fr/vintages/2019
23,Dominio de Pingus,Spain,Castilla y Leon,1995,https://www.pingus.es/wines/2019
4,Dominus Estate,USA,Napa Valley,1983,https://www.dominusestate.com/wines/dominus-2019/
17,E. Guigal,France,Rhone Valley,1946,https://www.guigal.com/en/wines/la-landonne-2018
13,Harlan Estate,USA,Napa Valley,1984,https://www.harlanestate.com/vintages/2018
25,Henschke,Australia,South Australia,1868,https://www.henschke.com.au/wines/hill-of-grace-2017
1,Joseph Phelps Vineyards,USA,Napa Valley,1973,https://josephphelps.com/wines/insignia/2019
18,M. Chapoutier,France,Rhone Valley,1808,https://www.chapoutier.com/en/wines/le-pavillon-2018
6,Marchesi Antinori,Italy,Tuscany,1385,https://www.antinori.it/en/wine/tignanello-2019/
3,Opus One Winery,USA,Napa Valley,1979,https://www.opusonewinery.com/wines/2019/
7,Penfolds,Australia,South Australia,1844,https://www.penfolds.com/en-us/wines/grange/2018
2,Ridge Vineyards,USA,Santa Cruz Mountains,1962,https://www.ridgewine.com/wines/2019-monte-bello/
12,Screaming Eagle,USA,Napa Valley,1986,https://www.screamingeagle.com/vintages/2019
14,Shafer Vineyards,USA,Napa Valley,1972,https://www.shafervineyards.com/wines/hillside-select-2018
16,Silver Oak Cellars,USA,Napa Valley,1972,https://silveroak.com/wines/2018-napa-valley-cabernet/
5,Tenuta San Guido,Italy,Tuscany,1940,https://www.tenutasanguido.com/en/sassicaia-2019
24,Torbreck Vintners,Australia,South Australia,1994,https://www.torbreck.com/wines/runrig-2018
